S.No.,Subject,Topic,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Description
6269,Pathology,CVS,"Which type of endocarditis has vegetation on both sides of the valves?	(Al ,)",Infective endocarditis,Libman-Sacks endocarditis,RF,None of the above,,2,
6270,Pathology,CVS,Which of these statements is false about infective endocarditis in,Candida is a common cause,Pulmonary valve is commonly involved,Staphylococcus aureus is commonest organism,Tricuspid valve is most commonly involved,,5,
6271,Pathology,CVS,Bacterial endocarditis is mostcommonlycaused by-,a-hemolytic streptococci,p-hemolytic streptococci,Staphylococcus aureus,Cardiobacterium,Staph. Epidermidis,3,
6272,Pathology,CVS,Which of the following is not a complication of infectiveendocarditis?(AIIMSNov.05),Myocardial ring abscess,Suppurative pericarditis,Myocardial infarction,Focal and diffuse glomerulonephritis,,2,
6273,Pathology,CVS,Non-sterile vegetations are seen in - (PCI 99),Rheumatic fever,Infective endocarditis,Non-bacterial thrombotic endocarditis,Libman-Sacks endocarditis,,2,
6274,Pathology,CVS,Flat vegetations in pockets of valves are due to - (DNB Dec11),Rheumatic heart disease,Libman-Sacks endocarditis,NBTE,Infective endocarditis,,2,"Robbins 9th/e p.5608i8th/e p. 567; Harsh Mohan 4th/e p. 307]â€¢ Flat vagetations in the pockets of valves is seen in Libman-Sacks endocarditis."
6275,Pathology,CVS,Which of these is true regarding Libman-Sacks lesion?,Causes perforation of valves,Involves multiple valves,Consists of large vegetation,Vegetations on the surface of valve spreads to mural endocardium,,4,
6276,Pathology,CVS,"All are true about non-bacterialthrombotic endocarditis,except-",Cause emboli,Vegetation > 5 mm,In inflammatory reaction,Locally nondestructive,,5,"Robbins 9th/e p. 561 & 8th/e p. 565] Vegetations are small, ranging from Ito 5 mm."
6277,Pathology,CVS,Mitral valve vegetations do not embolise usually to -,Brain,liver,Spleen,Lungs,,4,
6278,Pathology,CVS,egetations below the AV valves are present in - (AllMS Dec97),Libman-Sacks endocarditis,Chronic rheumatic carditis,,,,1,
6279,Pathology,CVS,Firm warty vegetations along the line of apposition of heart valves is present in,NBTE,Bacterial endocarditis,Rheumatic heart disease,Libman-Sacks endocarditis,,3,
6280,Pathology,CVS,"Libman-Sacks endocarditis is seen in - (Al ,)",RA,SLE,Rheumatic fever,PAN,,2,
6281,Pathology,CVS,Large warty vegetations are characteristic of - (DNB June 07),SLE,SABE,Both,None of above,,2,
6282,Pathology,CVS,Site of lesion in endocarditis of rheumatic heart disease-(PGI97),Along lines of closure of valves disease,Free margin of valves,both sides of valves,Valve cusps,,1,
6283,Pathology,CVS,which of the following vegetation are friable and easily detachable from the cardiac valves -(AllO),Rheumatic fever,Rheumatoid heart disease,SLE,Infective endocarditis,,4,
6284,Pathology,CVS,Which of the following is associated with destruction of valves?,"Acute infective endocarditis Al 15,14",Libman-Sacks endocarditis,Rheumatic heart disease â€¢,All of the above,,5,
6285,Pathology,CVS,Vegetations in Libman-Sacks endocarditis are -,Large and fragile,Small warty along the line of closure of valve,Small or medium sized on either or both sides of valve,Small bland vegetations,,3,
6286,Pathology,CVS,"All are true about hypertropic obstructive cardiomyopathy except- (Recent exam 2017,)",Asymmetric septal hypertrophy,Dilatation of atria,Dilatation of ventricles,Outflow obstruction,,5,"Robbins 9th/e p.569& 8th/ep. 575-576]HOCM is characterized by massive myocardial hypertrophy without ventricular dilatation."
6287,Pathology,CVS,"Cardiomyopathy may be seen in all except -(AllMS May 06, Recent exam 2017)",Duchenne muscular dystrophy,Friedreich's ataxia,Type II glycogen storage disease,Alkaptonuria,,4,"Robbins 9th/e p. 565 & 8th/e p. 575; Harrison 18th/e p. 1959,1965 &17th/ep. 1481]Causes of cardiomyopathyMusculardystrophy(Duchennemusculardystrophy)Friedreich's ataxiaGlycogen storage disease"
6288,Pathology,CVS,Alcohol causes - (Recent exam 2017),Dilated cardiomyopathy,HOCM,Restrictive cardiomyopathy,None of the above,,1,
6289,Pathology,CVS,Which of of the following is not a cause for restrictive cardiomyopathy? (DNBDec.ll),Alcohol,Hemochromatosis,Amyloidosis,Sarcoidosis,,1,"Robbins 9th/e p. 570 & 8th/e p. 577; Harrison 18th/e p.1965 & 17th/ep.l481]Causes of restrictive cardiomyopathyThree most common causes are amyloidosis, radiation, myocardial fibrosis after open heart surgery.Others are sarcoidosis, hemochromatosis, carcinoid syndrome and neoplasm."
6290,Pathology,CVS,"Which worm causes myocarditis? (Recent exam 2017,13,)",Trichuris,Trichinella,Enterobius,Stronglyloides,,2,"Robbins 9th/e p. 571 (table 12.15) & 8th/e p.578]Trichinella is the mos common helminthic organism causing myocarditis."
6291,Pathology,CVS,Hemopericardium is seen in - (Recent exam 2016),Chest injury,MI,Ruptured aortic aneurysm,All of the above,,5,
6292,Pathology,CVS,"Hemorrhagic pericarditis is seen in - (Recent exam2016,)",Uremia,TB,Neoplasm,ALL,,4,"Robbins 9th/ep. 574 &8th/ep. 582]Hemorrhagic pericarditisMost common cause is tumor involving pericardial space.Other causes are TB, uremia; cardiac surgery, patients with bleeding diathesis."
6293,Pathology,CVS,Type of pericarditis in tuberculosis - (Recent exam 2016),Hemorrhagic,Constrictive,Fibrinous,Serofibrinous,,1,
6294,Pathology,CVS,he common primary tumor of heart is - (Recent exam 2016),Rhabdomyoma,Fibroma,Myxoma,Lipoma,,3,Ref:Robbins 9th/ep.575 & 8th/ep. 555]
6295,Pathology,CVS,Atrial myxoma commonly arises iron -,Left ventricle,Left atrium,Right ventricle,Right atrium,,2,Robbins 9th/e p. 575 & 8th/e p
6296,Pathology,CVS,Characteristic pathological finding in carcinoid of heart -,Fibrous endocardial thickening of right ventricle and tricuspid valve,Collagen deposition in wall of right ventricle and tricuspid valve,Interstital fibrous thickening of right ventricle and pulmonicvalve,Mononuclear inflammatory infiltrate in the wall of right atrium,,1,Carcinoid heart disease is the cardiac manifestation of the systemic syndrome caused by carcinoid tumors.* Cardiovascular lesions consist of firm plaque like endocardial fibrous thickenings on the inside surfaces of the cardiac chambers and the tricuspid and pulmonary valves.
6297,Pathology,CVS,Most common tumor of heart is,Myxoma,Rhabdomyosarcma,,,,1,Ref:Robbins 9th/ep.575 & 8th/ep.585]
6298,Pathology,CVS,What does 'cardiac polypâ€™ mean? (AllMS May 11),Acute infarct,Cardiac aneurysm,Bengn tumor,Fibrinous clot,,4,
6299,Pathology,CVS,"Factor responsible for cardiac hypertrophy is - (Al , dnb Dec,10)",ANF,TNF-a,C-myc,TGF-8,,3,
6300,Pathology,CVS,"Tigered effect in myocardium is due to-(Recent exam 2017,13,)",Malignant change,Fat deposition,Seen in rheumatic fever,Associated with myocarditis,,2,"* Tigered effectIt is gross appearance of bands of yellow myocardium (containing fat) alternating with bands of darker, red-brown, uninvolved heart."
6301,Pathology,CVS,True about subendocardial hemorrhage is all except-,May be seen after head injury,Involved RV wall,Continuous pattern of sheet-like,Flame shaped hemorrhages,,2,
6302,Pathology,CVS,Calcification of the aortic valve is seen in-(Al 95),Aortic stenosis,Aortic regurgitation,Marfan's syndrome,Hurler's syndrome,,1,
6303,Pathology,CVS,"True regarding fibromuscular dysplasia are allexcept-fA/13,J",Medium size vessels,OCRs predispose,Aneurysm may occur,Irregular hyperplasia,,5,
6304,Pathology,CVS,InMVPSmitralvalveHPEshows-f/?ecentexom201^A//MSNov.0/7,Hyaline degeneration,Elastic degeneration,Myxomatous degeneration,Fibrinoid necrosis,,3,
6305,Pathology,CVS,The most common cause of SVC syndrome is -,Thrombosis,Extrinsic compression,Mediastinal lymphoma,Teratoma,,2,"Robbins 9th/e p. 515 & 8th/e p. 519]Most common cause (90%) appears to be extrinsi compression from malignant tumors such as lung cancer and metastatic tumors"
6306,Pathology,CVS,A young female patient came for routine ExaminationOn Examination a midsystolic click was foundfThere is no history of RHDThe histopatholigical Examination ismost likely to show- (Recent exam 2017),Myxomatous degeneration and prolapsed of the mitral valve,Fibrinous deposition on the tip of papillary muscle,Rupture of chgrdae tendineae,Aschoff 's nodule on the mitral valve,,1,
6307,Pathology,CVS,Monckeberg's sclerosis involves - (Recent exam 2017),Intima,Media,Externa,All of the above,,2,
6308,Pathology,CVS,"Most accepted theoryofatheroscleosisis-fRecentexom 2017,)",Lipid infiltration of intima,Pulmonary arterial trunk,Common carotid artery,Middle,,2,
6309,Pathology,CVS,WHICH OF THE FOLLOWING IS THE LEAST COMMON SITE OF ATHEROSCLEROTIC LESION?,AORTIC BIFURCATTION,PULMONARY ARTERIAL TRUNK,COMMON CAROTID ARTERY,MIDDLE CEREBRAL ARTERY,,2,
6310,Pathology,CVS,"Endothelial cells have - (Recent Exam 2017,16)",Weibel-Palad bodies,Gamma-Gandy bodies,Both,None of the above,,1,
6311,Pathology,CVS,"In which of the following locations would you least expect to find significant atherosclerotic lesions in a patient with risk factors of smoking, hypertension, diabetes mellitus, and serum cholesterol level of 280 mg/dl?	(Maharashtra 05)",Left main coronary artery,Aortic bifuracation,Circle of Willis,Pulmonary artery trunk,PulmonarV artery trunk,5,
6312,Pathology,CVS,Luetic aneurysms are common in all except - (Recent exam 2016),Ascending aorta,Arch of aorta,Descending thoracic aorta,Abdominal aorta,,4,"Robbins 9th/e p. 507&8th/e p. 532]Syphilitic aneurysms are als known as luetic aneurysms."
6313,Pathology,CVS,Kaposi sarcoma occurs with infection due to -,HHV8,HHV4,HHV2,HHV1,,1,
6314,Pathology,CVS,Dissecting hematoma is a clinical complication occurring in -,Turner's syndrome,Klinefelter's syndrome,Down's syndrome,Marfan's syndrome,,5,
6315,Pathology,CVS,PAN is associated with - (DPGEE 08),Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,,2,
6316,Pathology,CVS,Which of the following is true regarding endothelin - (Bihar 03),"Secreted by	endothelium",Most potent vasoconstrictor,Both,None of the above,,5,
6317,Pathology,CVS,Onion skin thickening of arteriolar wall is seen in -,Atherosclerosis,Median calcific sclerosis,Hyaline arteriolosclerosis,Hyperplastic arteriolosclerosis,,5,
6318,Pathology,CVS,Atheorsclerosis in the coronary circulation most commonlyaffects- (Maharashtra 98),Left anterior descending artery,Left circumflex,Right coronary,All of the above,,1,
6319,Pathology,CVS,"In atherosclerosis, increased LDL in monocyte macrophage dueto- (Recent Exam 2016,1DPG 10)",LDL receptors on macrophage,LDL receptors on endothelium,Lipids in LDL get oxidized,All of the above,,3,
6320,Pathology,CVS,Tree bark like calcification in chest X-Ray is seen in -,Syphilitic aneurysm Jipmer 93; Recent Exam 2016,Aorto-arteritis,Neurofibromatosis,Atherosclerosis,,5,
6321,Pathology,CVS,McCallum's patch is seen in the - (PGI 86; Recent Exam 2016),Right atrium,Left atrium,Left ventricle,Right ventricle,,2,
6322,Pathology,CVS,In myocardial infarction the infarct acquires hyperemic rim withan yellow center at - (Jipmer 95; Recent Exam 2016),3-7 days,10-20 days,7-14 days,1-2 hours,,5,
6323,Pathology,CVS,"In myocardial infarction, early light microscopic change is -",Waviness of fibers,Necrosis of fibers,Round cell infiltration,None of the above,,1,
6324,Pathology,CVS,Autopsy finding after 12 hrs in a case of death due to Ml -,Caseous necorsis,Coagulative necrosis,Fat necrosis,Liquefactive necrosis,,2,
6325,Pathology,CVS,"In myocardial infarction, microscopic picture of coagulation",necrosis with neutrophilic infiltration is seen in -,4-12 hrs,12-24 hrs,1-3 days,3-7 days,4,
6326,Pathology,CVS,The infarcted myocardium is replaced by scar tissue is in -,2 weeks,4 weeks,6 weeks,10 weeks,,4,
6327,Pathology,CVS,Enzyme appearing last in Ml is - (Assam 95),CPK,LDH,SGOT,SGPT,,2,
6328,Pathology,CVS,Pathognomonic features of acute rheumatic fever is -,Pericarditis,Myocarditis,Mitral stenosis,Aschoff's nodules,,5,
6329,Pathology,CVS,Characteristic of acute rheumatic fever - (Jipmer 98),Endocarditis,Myocarditis,Pencarditis,Pancarditis,,4,
6330,Pathology,CVS,"In myocardial infarction, light microscopic changes are evidentby- (Kerala 03)",1 hour,1/2 hour,6 hours,24 hours,,2,
6331,Pathology,CVS,"Approximate time, at the end of which the quantity of AT P within ischemic cardiac myocytes is reduced to 10% of original is?","< 2	minutes","10	minutes","20	minutes","40	minutes",,5,
6332,Pathology,CVS,The most characteristic histological finding of acute rheumatic carditis is- (Kerala 89),Fibrinous pericarditis,Vegetations on mitral valve leaflets,Aschoff's bodies in myocardium,Increased vascularity of the valves,,5,
6333,Pathology,CVS,Features of rheumatic carditis are all except -,Aschoff's nodule pgi 89,Lymphatic infiltration,Myocardial fibrosis,IntramyocardiaL microemboli,,4,
6334,Pathology,CVS,Exudate in rheumatic fever is - (Jipmer95),Serous,Purulent,Fibrinous,Myxomatous,,3,
6335,Pathology,CVS,"In rheumatic fever, fibrinoid necrosis occurs in - (TN 91)",Myocardium,Collagen,Pericardium,Endocardium,,2,
6336,Pathology,CVS,The commonest type of pericarditis in acute rheumatic fever is -,Serous,Fibrinous,Serofibrinous,Purulent,,2,
6337,Pathology,CVS,Bacterial endocarditis can cause all except - (Al 90),Cerebral infarct,Focal glomerulonephritis,Meningitis,Subcutaneous nodules,,4,
6338,Pathology,CVS,"The % of coincidence between sore thrat and acute rheumatic feveris- (Jipmer2016,Recent exam2017)",0.03,0.05,0.07,0.09,,1,
6339,Pathology,CVS,Aschoff's cells are - (Recent exam 20),Fibroblasts,Monocytes,Neutrophils,Lymphocytes,,2,
6340,Pathology,CVS,True about vegetation inrheumatic fever is-('Recentexam20^,Soft and friable,Large and firm,Soft and firm,Large ano rnaoie,,3,
6341,Pathology,CVS,Large warty vegetations are characteristic of-,SLE,SABE,Both,None of the above,,2,
6342,Pathology,CVS,Commonest complication of infective endocarditis is - (Al 89),Thromboembolism,Mycotic aneurysm,Fibrinous pericarditis,Myocardial abscesses,,4,
6343,Pathology,CVS,Causative organism in acute bacterial endocarditis is -,Staphylococcus aureus,Streptococcus viridans,Pneumococcus,Streptococcus pyogenes,,1,
6344,Pathology,CVS,Which of the following is true about Libman-Sacks endocarditis,It is along the line of closure Manipal 06,On either side of valve,It is friable,Organisms are seen,,2,
6345,Pathology,CVS,The substance that accumulates in cardiac myxoma is - (Jipmer 9,Mucopolysaccharides,Sialomucin,Gelatin,Glycoprotein,,1,"Robbins 9th/e p. 576 & 8th/e p. 553]MyxomasIt is composed of stellate or globular myxomas cells.It contains lepidic cell, endothelial cells, smooth muscle and undifferentiated cells embedded within abundant acid mucopolysaccharide substance."
6346,Pathology,CVS,Libman'Sack's endocarditis is associated with - (MH 11),Rheumatic heart disease,SLE,Carcinoma,None of the above,,2,
6347,Pathology,CVS,All are the causes of myocarditis except - (Karn05,Trichinosis,Mycobacterium tuberculosis,Corynebacterium diphtheriae,Systemic lupus erythematosus,,2,
6348,Pathology,CVS,Bloody pericardial effusion can be due to-,Uremic pericarditis,Tuberculosis pericarditis,Tumor infiltration,All of the above,,4,
6349,Pathology,CVS,Myocarditis can be caused by - (Maharashtra 10),Schistosoma,Ancylostoma duodenale,Trichuris trichiura,Trichinella spiralis,,4,
6350,Pathology,CVS,Metastasis to heart are mostly from - (Recent exam 2017),Breast,Prostate,Ovary,All of the above,,1,
6351,Pathology,CVS,"All are true about hypertrophic obstructive cardiomyopathyexcept- (Recentexam2017,16)",Asymmetric septal hypertrophy,Dilatation of atria,Dilatation of ventricles,Outflow obstruction,,3,
6352,Pathology,CVS,Which of the following findings expected on microscopic Examination of biopsy from heart showing ventricular hypertrophywithasymmetricseptalthickening?,Aschoff's bodies,Disorganization of myofibrils,Infiltration by inflammatory cells,Localized fibrous scarring,,2,"Robbins 9th/e p. 569 & 8th/e p. 576] Most characteristic histological finding of HOCM is disruption of the normal alignment of myocytes (myocardial disarray)."
