S.No,System,Question,1,2,3,4,,Ans,Explanation
171,Blood,The T-lymphocytes are processed in:,Liver,Bone marrow,Thymus,Lymph node,,3,
172,Blood,B cell immunity refers to:,Acquired humoral immunity,Natural cell-mediated immunity,Natural humoral immunity,Acquired cell-mediated immunity,,1,
173,Blood,Most T-cell population consists of:,Helper(or inducer) T cells,Memoty T cells,Killer T cells,Cytotoxic T cells,,1,
174,Blood,Helper T4 Lymphocytes cause proliferation of:,Neutrophils in bone marrow,B-lymphocytes,Tissue macrophages,Plasma cells,,2,
175,Blood,Antigen may generate:,Only cellular immunity,Only humoral immunity,Both cellular as well as humoral immunity,Non-specific immunity,,3,
176,Blood,Cellular immunity differs form humoral  immunity in that:,cellular responses are affected by elements free in the serum or body fluids,cellular immunity involve cell directly eliminating the invading organism,Cellular immunity activity is increased by interleukins,Cellular immunity check the cells that have undergone malignant transformation,,2,
177,Blood,Drug allergy is caused by:,IgG,Cytotoxic T cells,Activated B-cells,IgM,,2,
178,Blood,Co-receptors for major histocompatibility complex (MHC) are:,CD4,CD8,Both (a) and (b),T-cells,,3,
179,Blood,Cell that are involved in the regulation of antibodies production by B-lymphocytes are,HelperT cells,Suppressor T cells,Memory B cells,(a) and (b) both,,4,
180,Blood,Memory cell in immune system are long lived and escape apoptosis because of:,Insulin like growth factor,Fibroblast growth factor (FGF),Platelet derived growth factor,Nerve growth factor,,4,
181,Blood,Cytotoxic T cell are not responsible for:,Delayed allergic reactions,Rejection of transplant grafts,Lysis of tumour cells,Regulation of antibodies production,,4,
182,Blood,Helper and cytotoxic cells belong to :,T cells,B cells,Monocytes,Macrophages,,1,
183,Blood,Cell previously exposed to an antigen and readily converted to effector cells by a later encounter with the same antigen are:,Helper T cells,Cytotoxic/effector T cells,Memory T cells,Suppressor T cells,,3,
184,Blood,Not characteristic of antibodies:,Are immunoglobulis,Are formed by the plasma cells,Are excreted in urine,Are protective and destructive,,3,
185,Blood,Which of the following is true about immunoglobulins composition?,All immunoglobulins contain 2 light and 2 heavy chains,Most immunoglobulins contain 2 light and 2 heavy chains,Constant portion contains light chains,Antigen bind to heavy chain,,2,
186,Blood,Cellular response of acquired immune system become fully functional after an encounter with an antigen in about time,1 week,2 weeks,3 weeks,4 weeks,,2,
187,Blood,Antibodies which can esaily cross the placenta:,IgG,IgA,IgM,IgE,,1,
188,Blood,Which of the following is false regarding lgG:,Comprises 71% of total Ig,Can cross the placenta,Has both light and heavy chains,Antibody of primary immune response.,,4,
189,Blood,immunoglobulins that provides localised protection:,IgG,IgA,IgM,IgD,,2,
190,Blood,Immediate hypersensitivity reaction is due to,IgE,Activated T cells,IgG,Cytotoxic T cells,,1,
191,Blood,Anaphylactic result from liberation of all except:,Histamine,Eosinophils chemotactic factor A,Interleukins,Bradykinin,,3,
192,Blood,Interleukin -1 is produced by:,Liver,B-lymphocytes,Macrophages,Plasma cells,,3,
193,Blood,The lymphokines secreted by helper T cells are all except:,Interleukin-1,Interleukin-2,Interleukin-6,Gamma interferon,,3,
194,Blood,"Which of the immunoglobulin (Ig) play important role in allergies, parasitic infestation and anaphylactic type of immediate hypersensitivity disorders.",IgG,IgA,IgM,IgE,,4,
195,Blood,Which of the following interleukin (IL) is not known as B-cell growth fator?,IL-4,IL-5,IL-6,IL-7,,4,
196,Blood,ÌÊ-interferon is produced by:,Lymphocytes,Monocytes,Macrophage,Neutrophil,,1,
197,Blood,True about cytokines are all except:,It is polypeptide,Have autocrine and paracrine effects,Involve in leukocytic movements,It takes part in intrinsic enzymatic reaction,,4,
198,Blood,Actual killing of an antigen is brought about by all of the following excpt:,Interleukins,Complement system,Natural killer cells,C-Reactive protein,,4,
199,Blood,Immunity is most suppressed in:,Liver failure,Patients on ACTH therapy,Anaemia,Renal failure,,2,
200,Blood,Body's recognition of self antigen is made in:,Thymus,Lymph node,Bone marrow,Brain,,5,
201,Blood,Production of antibodies against our own body proteins is by all of following except:,Auto-immunization,Auto-sensitization,Auto-antibodies,Auto-regulation,,4,
202,Blood,Autoimmunity may be involved in the pathogenesis of all except:,Myasthenia gravis,Rheumatic arthritis,Grave's disease,Coronary artery disease(CAD),,4,
203,Blood,Which is not an autoimmune disorder?,Hashimoto's thyroiditis,Grave's disease,Endemic goitre,Myasthenia gravis,,3,
204,Blood,Most likely cause of autoimmune disease is :,Activation of suppressor T cells,Activation of memory T cells,Deficiency of suppressor T cells,Deficiency of memory T cells,,5,
205,Blood,Increased incidence of tumours with advancing age is probably due to:,Decline in acquired cellular immunity,Decline in natural cellular immunity,Decline in natural humoral immunity,Decline in acquired humoral immunity,,1,
206,Blood,True about AIDS is:,Caused by a fungus,Associated with increase in number of helper T cells,Only cellular immunity is lost,Both cellular as well as humoral immunity is lost,,4,
207,Nerve & Muscle,Structural and functional unit of the nervous system is,Nephron,Neuron,Nerve cell body,Neurolemma,,2,
208,Nerve & Muscle,Human nervous system contains about‰Û_.. Neurons,104,1010,1012,1016,,3,
209,Nerve & Muscle,Nissl bodies are composed of:,DNA,RNA with protein,Lipoprotein,Fine granules composed of uracil,,2,
210,Nerve & Muscle,Nissl's bodies located intra-cyptoplasmic,Perikaryon of neuron,Smooth muscle,Skeletal muscle,Cardiac muscle,,1,
211,Nerve & Muscle,Chromatolysis is seen in:,Demyelination,Multiple sclerosis,Section of axon,Tabes dorsalis,,3,
212,Nerve & Muscle,Axon's length varies from:,5-10 cm,few microns to 90 cm,1-2 cm,2-5 cm,,2,
213,Nerve & Muscle,Node of Ranvier is seen in:,Cell body,Dendrites,Axons,Terminal butons,,3,
214,Nerve & Muscle,Node of Ranvier are about‰Û_...mm apart:,0.01,0.1,1,2.5,,3,
215,Nerve & Muscle,Material responsible for maintaining integrity of the axon is:,RNA,DNA,Neurotrophins,Lipoprotein complexes,,3,
216,Nerve & Muscle,Proteins associated with synaptic transmitters are synthesized in:,Nerve fiber,Endoplasmic reticulum of cell body,Dendrites,Synaptic vesicles,,2,
217,Nerve & Muscle,False about dendrites is:,There are 5-7 elongated cytoplasmic extensions from the cell body,Receptive process of the neuron,Here non-propagated local potentials are intergrated,Local potentials generated here obey all or non law,,4,
218,Nerve & Muscle,Not a function of dendrites:,Graded electrogenesis,Wave activity in EEG,Increased retrograde firing,Decreased retrograde firing,,3,
219,Nerve & Muscle,In the postnated period the greatest growth in the grey matter of the CNS is of:,Neuron cell number,Length of axon,Dendritic tree,Size of perikaryon,,3,
220,Nerve & Muscle,Most sensitive part of axon os:,Dendrite,Soma,Axon tip,Initial segment of axon,,4,
221,Nerve & Muscle,Action potential generated in axon hillock is due to:,It has least threshold,Neurotransmitters produced,Unmyelinated,Has nore ion channels,,4,
222,Nerve & Muscle,Initiation of an impulse starts in:,Axon,Axon hillock initial segment,Cell body,Dendritic tree,,1,
223,Nerve & Muscle,Which of the following is not correctly paired?,Fast axonal transport: upto 400mm/day,Slow axonal transport: 0.5-10 mm/day,Retrograde axonal transport: 200mm/day,Synaptic transmission: Antidromic conduction,,4,
224,Nerve & Muscle,Neurons in sympathetic ganglia are:,Unipolar,Bipolar,Pseudounipolar,Multipolar,,4,
225,Nerve & Muscle,Sheath of Schwann cell is called:,Axolemma,Neurolemma,Endoneurium,Perineurium,,2,
226,Nerve & Muscle,Non-myelinated nerve fibers differ from myelinated fibers in that they:,Have higher conduction velocity,Are more excitable,Lacks nodes of Ranvier,Are not capable of regeneration,,3,
227,Nerve & Muscle,Large myelinated narve fibres differs from unmyelinated fibers in that former are characterized by:,Saltatory conduction,Axons are burried in the Schwann cells without wrapping of myelin,Conduction is a continuous process,Examples include all postganglionic fibers of ANS,,1,
228,Nerve & Muscle,Which of the following is an example of an unmyelinated neuron?,Anterior horn cell,Preganglionic parasympathetic neuron,Preganglionic sympathetic neuron,Postganglionic parasympathetic neuron,,4,
229,Nerve & Muscle,The jumping of depolarization from node of node is called:,Absolute refractory period,Relative refractory period,Saltatory conduction,Orthodromic conduction,,3,
230,Nerve & Muscle,Development of myelin  sheath in peripheral nervous system depends on:,Oligodendrocytes,Astrocytes,Microglia,Schwann cell,,4,
231,Nerve & Muscle,Not true about myelinogenesis:,Process of deposition of myelin sheath around the axon,Begins 1 years after birth,"In peripheral nerves, Schwann cell are responsible to carry out this function",Oligodendroglia are responsible for it within the CNS,,2,
232,Nerve & Muscle,Myelin is composed of:,A double layer of lipid molecules with proteins embedded in it,Two lipid layer sandwiched between three protein layers,Many layers of unit membranes,A single layer of cell membrane,,2,
233,Nerve & Muscle,Thickness of myelin sheath is determined by:,Thickness of unit membrane,Thickness of the axon,Number of unit membranes layer wrapped around the axon,Number of Schwann cells,,3,
234,Nerve & Muscle,In multiple sclerosis:,There is excessive deposition of myelin round the axon,Thickness of myelin increase,There is patchy destruction of myelin,It is associated with increased conduction in axons,,3,
235,Nerve & Muscle,Approx number of glial cells in the nervous system,106,1012,1013,1018,,3,
236,Nerve & Muscle,Which is not a glial cell?,Schwann cell,Microglia,Astrocyte,Oligodendroglia,,1,
237,Nerve & Muscle,Which of the following statements about glial cells is true?,They are not capable of multiplying by mistosis,Schwann cells that invest the axons in peripheral nerves are also glial cells.,Microglia form myelin around axon within CNS,Oligodendroglia  are also called macroglia.,,2,
238,Nerve & Muscle,Which of the following is not a feature of neuroglia:,Protoplasmic astrocytes are found in grey matter,Oligodendrocytes are derived from ectoderm,Microglia is of mesodermal origin,Central neuroglia cells are derived from Schwann cells,,4,
239,Nerve & Muscle,Phagocytosis within the nervous system is done by:,Microglia,Oligodendroglia,Astrocytes,Schwann cells,,1,
240,Nerve & Muscle,Not true of an astrocyte:,Found throughout the brain joined to the blood vessels,Helps forming blood brain barrier,Forms myelin around the axons within CNS,Helps in maintaining optimal concentration of ions in the brain neurons,,3,
241,Nerve & Muscle,In central nevous system the myelin sheath is formed by:,Oligodendrocytes,Schwann's cell,Microglia,Astrocytes,,1,
242,Nerve & Muscle,Material necessary for growth and maintenance of neurons are all excpet:,Nerve growth factor,Laukaemia inhibitory factor,Insulin like growth factor I,Phospholipids,,4,
243,Nerve & Muscle,Which of the following statements about nerve growth factor (Neurotrophin) is not true:,It is produced by the structures that the neurons innervate,"It is essential for survival, growth and maintenance of sympathetic neurons only",It is picked up by the nerves from the organs they innervate,It binds to trk - tyrosine kinase associated receptors at the endings of a neuron.,,2,
244,Nerve & Muscle,False about metabolism in nerve fibers:,It is very slow process,It increases to two folds during maximum activity,Shows the same chemical changes as seen in the muscle,No energy is used to maintain polarised state of its membrane,,4,
